Race ID,Year,Race Name,Avg pit stop time (ms)
408,1986,Belgian Grand Prix,\N
409,1986,Canadian Grand Prix,\N
410,1986,Detroit Grand Prix,\N
411,1986,French Grand Prix,\N
412,1986,British Grand Prix,\N
413,1986,German Grand Prix,\N
414,1986,Hungarian Grand Prix,\N
415,1986,Austrian Grand Prix,\N
416,1986,Italian Grand Prix,\N
417,1986,Portuguese Grand Prix,\N
418,1986,Mexican Grand Prix,\N
419,1986,Australian Grand Prix,\N
420,1985,Brazilian Grand Prix,\N
421,1985,Portuguese Grand Prix,\N
422,1985,San Marino Grand Prix,\N
423,1985,Monaco Grand Prix,\N
424,1985,Canadian Grand Prix,\N
425,1985,Detroit Grand Prix,\N
426,1985,French Grand Prix,\N
427,1985,British Grand Prix,\N
428,1985,German Grand Prix,\N
429,1985,Austrian Grand Prix,\N
430,1985,Dutch Grand Prix,\N
431,1985,Italian Grand Prix,\N
432,1985,Belgian Grand Prix,\N
433,1985,European Grand Prix,\N
434,1985,South African Grand Prix,\N
435,1985,Australian Grand Prix,\N
436,1984,Brazilian Grand Prix,\N
437,1984,South African Grand Prix,\N
438,1984,Belgian Grand Prix,\N
439,1984,San Marino Grand Prix,\N
440,1984,French Grand Prix,\N
441,1984,Monaco Grand Prix,\N
442,1984,Canadian Grand Prix,\N
443,1984,Detroit Grand Prix,\N
444,1984,Dallas Grand Prix,\N
445,1984,British Grand Prix,\N
446,1984,German Grand Prix,\N
447,1984,Austrian Grand Prix,\N
448,1984,Dutch Grand Prix,\N
449,1984,Italian Grand Prix,\N
450,1984,European Grand Prix,\N
451,1984,Portuguese Grand Prix,\N
452,1983,Brazilian Grand Prix,\N
453,1983,United States Grand Prix West,\N
454,1983,French Grand Prix,\N
455,1983,San Marino Grand Prix,\N
456,1983,Monaco Grand Prix,\N
457,1983,Belgian Grand Prix,\N
458,1983,Detroit Grand Prix,\N
459,1983,Canadian Grand Prix,\N
460,1983,British Grand Prix,\N
461,1983,German Grand Prix,\N
462,1983,Austrian Grand Prix,\N
463,1983,Dutch Grand Prix,\N
464,1983,Italian Grand Prix,\N
465,1983,European Grand Prix,\N
466,1983,South African Grand Prix,\N
467,1982,South African Grand Prix,\N
468,1982,Brazilian Grand Prix,\N
469,1982,United States Grand Prix West,\N
470,1982,San Marino Grand Prix,\N
471,1982,Belgian Grand Prix,\N
472,1982,Monaco Grand Prix,\N
473,1982,Detroit Grand Prix,\N
474,1982,Canadian Grand Prix,\N
475,1982,Dutch Grand Prix,\N
476,1982,British Grand Prix,\N
477,1982,French Grand Prix,\N
478,1982,German Grand Prix,\N
479,1982,Austrian Grand Prix,\N
480,1982,Swiss Grand Prix,\N
481,1982,Italian Grand Prix,\N
482,1982,Caesars Palace Grand Prix,\N
483,1981,United States Grand Prix West,\N
484,1981,Brazilian Grand Prix,\N
485,1981,Argentine Grand Prix,\N
486,1981,San Marino Grand Prix,\N
487,1981,Belgian Grand Prix,\N
488,1981,Monaco Grand Prix,\N
489,1981,Spanish Grand Prix,\N
490,1981,French Grand Prix,\N
491,1981,British Grand Prix,\N
492,1981,German Grand Prix,\N
493,1981,Austrian Grand Prix,\N
494,1981,Dutch Grand Prix,\N
495,1981,Italian Grand Prix,\N
496,1981,Canadian Grand Prix,\N
497,1981,Caesars Palace Grand Prix,\N
498,1980,Argentine Grand Prix,\N
499,1980,Brazilian Grand Prix,\N
500,1980,South African Grand Prix,\N
501,1980,United States Grand Prix West,\N
502,1980,Belgian Grand Prix,\N
503,1980,Monaco Grand Prix,\N
